2018/02/25 13:19:30 [error] 3662#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:30 [error] 3662#0: *1 open() "/usr/share/nginx/html/phpMyAdmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:31 [error] 3662#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:31 [error] 3662#0: *1 open() "/usr/share/nginx/html/phpMyAdmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:32 [error] 3662#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:32 [error] 3662#0: *1 open() "/usr/share/nginx/html/phpMyAdmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:32 [error] 3662#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:32 [error] 3662#0: *1 open() "/usr/share/nginx/html/phpMyAdmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:32 [error] 3662#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:32 [error] 3662#0: *1 open() "/usr/share/nginx/html/phpMyAdmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:33 [error] 3662#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:33 [error] 3662#0: *1 open() "/usr/share/nginx/html/phpMyAdmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:33 [error] 3662#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:33 [error] 3662#0: *1 open() "/usr/share/nginx/html/phpMyAdmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:33 [error] 3662#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:33 [error] 3662#0: *1 open() "/usr/share/nginx/html/phpMyAdmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:34 [error] 3662#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:34 [error] 3662#0: *1 open() "/usr/share/nginx/html/phpMyAdmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:34 [error] 3662#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:34 [error] 3662#0: *1 open() "/usr/share/nginx/html/phpMyAdmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:34 [error] 3662#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:34 [error] 3662#0: *1 open() "/usr/share/nginx/html/phpMyAdmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:31 [error] 3767#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:31 [error] 3767#0: *2 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:32 [error] 3767#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:32 [error] 3767#0: *2 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:33 [error] 3767#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:33 [error] 3767#0: *2 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:33 [error] 3767#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:33 [error] 3767#0: *2 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:33 [error] 3767#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:33 [error] 3767#0: *2 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:33 [error] 3767#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:33 [error] 3767#0: *2 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:33 [error] 3767#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:33 [error] 3767#0: *2 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:34 [error] 3767#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:34 [error] 3767#0: *2 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:34 [error] 3767#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:34 [error] 3767#0: *2 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:34 [error] 3767#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
